LOS HAYUELOS	35	35
LOS GRUPOS	1	1
LOS COMUNEROS	2	2
LOS CEREZOS	6	6
LOS CEDRITOS	62	62
LOS ANGELES	2	2
LOS ANDES	4	4
LOS ALPES	1	1
LOS ALMENDROS	2	2
LOS ALCAPARROS DE SUBA	1	1
LOMBARDIA III	1	1
LOMBARDIA II	10	10
LLANO GRANDE	18	18
LITUANIA	1	1
LISBOA	21	21
LIJACA	8	8
LIBERTADORES	4	4
LIBERTADOR SUR	4	4
LAURELES LA ESTACIÓN	2	2
LAS VIOLETAS	1	1
LAS VILLAS II SECTOR	1	1
LAS VILLAS I SECTOR	10	10
LAS ORQUÍDEAS	10	10
LAS NIEVES	63	63
LAS MERCEDES	6	6
LAS MARGARITAS	40	40
LAS MANITAS	1	1
LAS GRANJAS	1	1
LAS GAVIOTAS URB.	1	1
LAS FLORES I	1	1
LAS FLORES	8	8
LAS FERIAS	7	7
LAS DOS AVENIDAS	6	6
LAS DELICIAS	15	15
LAS CRUCES	33	33
LAS COLUMNAS	1	1
LAS COLINAS	22	22
LAS BRISAS	4	4
LAS AMERICAS	23	23
LAS AGUAS	46	46
LAS ACACIAS	3	3
LAGOS DE SUBA	8	8
LAGO GAITAN	25	25
LAGO DE CHAPINERO	4	4
LA VICTORIA NORTE	1	1
LA VICTORIA	29	29
LA VERACRUZ	7	7
LA URIBE	18	18
LA TRINIDAD	2	2
LA TOSCANA	9	9
LA SOLEDAD, SAN JOSÉ NORTE	1	1
LA SOLEDAD	32	32
LA SERENA	4	4
LA SALLE	4	4
LA SALINA	1	1
LA SABANA	13	13
LA ROSITA	2	2
LA ROCA	3	3
LA RIVIERA	4	4
LA RIVERA	2	2
LA RESURRECCIÓN II	5	5
LA PRIMAVERA NORTE II SECTOR	1	1
LA PRIMAVERA NORTE I SECTOR	2	2
LA PRIMAVERA NORTE	4	4
LA PRIMAVERA	6	6
LA PRADERA NORTE	8	8
LA PORTADA	1	1
LA PORCIUNCULA	21	21
LA PONDEROSA	1	1
LA PLAYA II	1	1
LA PLAYA	3	3
LA PICOTA	2	2
LA PERSEVERANCIA	6	6
LA PERLA	1	1
LA PEPITA	1	1
LA PEÑA	1	1
LA PENINSULA	2	2
LA PAZ BOSA	2	2
LA PAZ	5	5
LA PATRIA	6	6
LA PALMA	1	1
LA PALESTINA	2	2
LA MERCED NORTE	4	4
LA MERCED	1	1
LA MARQUEZA	1	1
LA MARICHUELA	12	12
LA MARÍA SUR	1	1
LA MARIA	4	4
LA MAGDALENA	10	10
LA MACARENA	7	7
LA LIBERTAD II	1	1
LA LIBERTAD I	2	2
LA LIBERTAD	9	9
LA LIBERIA	5	5
LA LAGUNA DE FONTIBÓN	1	1
LA LAGUNA	5	5
LA ISABELA II	1	1
LA INDEPENDENCIA	2	2
LA IGUALDAD	9	9
LA HORTUA	2	2
LA HERRADURA	3	3
LA GRANJA	13	13
LA GLORIA BAJA	3	3
LA GLORIA	5	5
LA GIRALDA	5	5
LA GAITANA	39	39
LA FRANCIA	1	1
LA FRAGUITA ZONA INVADIDA	1	1
LA FRAGUA	6	6
LA FLORIDA IV SECTOR	1	1
LA FLORIDA	5	5
LA FLORESTA	1	1
LA FISCALA	2	2
LA FELICIDAD	4	4
LA FAVORITA	36	36
LA FAENA	3	3
LA EUROPA	2	2
LA ESTRELLA NORTE	2	2
LA ESTRELLA DEL SUR	4	4
LA ESTRELLA	3	3
LA ESTRADITA	5	5
LA ESTRADA	4	4
LA ESTANZUELA	8	8
LA ESTANCIA BAJA	1	1
LA ESTANCIA	4	4
LA ESTACION IMPERIAL	2	2
LA ESTACIÓN	9	9
LA ESPERANZA II	1	1
LA ESPERANZA I	1	1
LA ESPERANZA DE TIBANICA	2	2
LA ESPERANZA	18	18
LA ESPAÑOLA	6	6
LA ESMERALDA	24	24
LA DESPENSA	2	2
LA CONSOLACIÓN	3	3
LA CONEJERA II ETAPA	1	1
LA CONCORDIA	5	5
LA CONCEPCION	4	4
LA COLONIA ORIENTAL	1	1
LA COLMENA	2	2
LA CLARITA	8	8
LA CITA	1	1
LA CHUCUA NORTE	3	3
